unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12589381,JE410474,2021-10-14 03:55:00.000000 UTC,100XX W OHARE ST,2091,NARCOTICS,FORFEIT PROPERTY,AIRPORT/AIRCRAFT,true,false,1651,16,41,76,18,,,2021,2023-01-31 03:48:27.000000 UTC,,,
12364577,JE228984,2021-05-13 03:35:00.000000 UTC,0000X W TERMINAL ST,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,true,false,1653,16,41,76,15,1101811.0,1934419.0,2021,2021-05-20 05:20:28.000000 UTC,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
12522364,JE422367,2021-10-25 06:40:00.000000 UTC,0000X W TERMINAL ST,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,true,false,1653,16,41,76,15,1101811.0,1934419.0,2021,2021-11-01 04:48:32.000000 UTC,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
12567291,JE476952,2021-12-14 09:25:00.000000 UTC,102XX W ZEMKE RD,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,AIRPORT PARKING LOT,true,false,1654,16,41,76,07,1106955.0,1941060.0,2021,2021-12-21 03:48:26.000000 UTC,41.994913946,-87.881937669,"(41.994913946, -87.881937669)"
12282389,JE128008,2021-01-30 09:34:00.000000 UTC,004XX W OHARE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,HOTEL / MOTEL,true,false,1654,16,41,76,11,1100995.0,1934684.0,2021,2021-02-06 03:52:06.000000 UTC,41.977501441,-87.903979727,"(41.977501441, -87.903979727)"
12406697,JE281100,2021-06-27 09:45:00.000000 UTC,0000X W OHARE ST,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,true,false,1654,31,41,76,15,1091242.0,1941464.0,2021,2021-07-04 04:52:17.000000 UTC,41.996235316,-87.939732936,"(41.996235316, -87.939732936)"
12457001,JE283423,2021-06-29 11:13:00.000000 UTC,006XX W OHARE ST,2025,NARCOTICS,POSSESS - HALLUCINOGENS,GOVERNMENT BUILDING / PROPERTY,true,false,1654,16,41,76,18,,,2021,2022-07-02 04:48:34.000000 UTC,,,
12326620,JE182024,2021-03-28 05:50:00.000000 UTC,082XX S MARYLAND AVE,1025,ARSON,AGGRAVATED,RESIDENCE - PORCH / HALLWAY,true,false,631,6,8,44,09,1183336.0,1850622.0,2021,2021-08-11 04:52:42.000000 UTC,41.745299141,-87.603799525,"(41.745299141, -87.603799525)"
12474706,JE364146,2021-09-06 11:50:00.000000 UTC,015XX W GREENLEAF AVE,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,SIDEWALK,true,false,2423,24,49,1,03,1164874.0,1947044.0,2021,2022-02-26 03:48:14.000000 UTC,42.010298681,-87.668711437,"(42.010298681, -87.668711437)"
12479274,JE369633,2021-09-11 12:05:00.000000 UTC,004XX S LA SALLE ST,0850,THEFT,ATTEMPT THEFT,OTHER RAILROAD PROPERTY / TRAIN DEPOT,true,false,122,1,4,32,06,1175316.0,1898354.0,2021,2021-09-18 04:51:59.000000 UTC,41.876463028,-87.631758163,"(41.876463028, -87.631758163)"
12325238,JE180999,2021-03-27 02:50:00.000000 UTC,0000X W 87TH ST,1570,SEX OFFENSE,PUBLIC INDECENCY,CTA PLATFORM,true,false,634,6,21,44,17,1177549.0,1847286.0,2021,2021-04-03 05:04:00.000000 UTC,41.736277427,-87.62510451,"(41.736277427, -87.62510451)"
12514656,JE412893,2021-10-17 02:39:00.000000 UTC,014XX W MORSE AVE,2025,NARCOTICS,POSSESS - HALLUCINOGENS,STREET,true,false,2431,24,49,1,18,1165410.0,1946171.0,2021,2021-10-24 04:46:46.000000 UTC,42.007891717,-87.666764317,"(42.007891717, -87.666764317)"
12343120,JE202806,2021-04-18 10:21:00.000000 UTC,064XX N CLARK ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,POLICE FACILITY / VEHICLE PARKING LOT,true,false,2432,24,40,1,15,1164254.0,1943116.0,2021,2023-01-04 03:46:44.000000 UTC,41.999533347,-87.671104423,"(41.999533347, -87.671104423)"
12413131,JE288795,2021-07-03 05:45:00.000000 UTC,014XX S MUSEUM CAMPUS DR,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,PARK PROPERTY,true,false,132,1,4,33,26,,,2021,2021-07-10 05:05:33.000000 UTC,,,
12286721,JE133413,2021-02-05 09:15:00.000000 UTC,033XX W PALMER ST,500N,OTHER OFFENSE,ABUSE / NEGLECT - CARE FACILITY,APARTMENT,true,true,1413,14,26,22,26,1153635.0,1914422.0,2021,2021-03-03 03:44:52.000000 UTC,41.921013866,-87.710935793,"(41.921013866, -87.710935793)"
12478385,JE368525,2021-09-10 01:10:00.000000 UTC,005XX W BELMONT AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,true,false,1925,19,44,6,05,1172263.0,1921512.0,2021,2021-10-04 04:48:44.000000 UTC,41.940077729,-87.642282653,"(41.940077729, -87.642282653)"
